component,kind,time,CdA,Hdot,Q,dP,mdot,qdot,state
gn2_pressurant_regulator,BangBang,0.0,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,1
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.3,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.9,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,0.9,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.0,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.0,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.3,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.4,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.4,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.5,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.5,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.6,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.6,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.7,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.7,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
gn2_pressurant_regulator,BangBang,1.8,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,False
