component,kind,time,CdA,Hdot,Q,dP,mdot,qdot,state
gn2_pressurant_regulator,BangBang,0.0,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0.0,1
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14848.993752433227,,27761879.53379372,0.05648382794367313,0.0,1
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14801.818046678713,,27892308.965282924,0.05635606081271637,0.0,1
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14754.887251634193,,27985119.199842304,0.05622882441597868,0.0,1
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14708.199596101667,,28049897.851714548,0.05610211551145191,0.0,1
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14661.753325225325,,28093247.153141063,0.0559759308831498,0.0,1
gn2_pressurant_regulator,BangBang,0.3,1.02e-06,14615.546700308762,,28119864.484164022,0.055850267340849906,0.0,1
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14569.577998634286,,28133184.712657437,0.055725121719838275,0.0,1
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14523.845513285234,,28135778.53007979,0.0556004908806578,0.0,1
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14478.347552969746,,28129608.567121387,0.05547637170885836,0.0,1
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14433.08244184835,,28116199.31977566,0.05535276111475196,0.0,1
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14388.048519361566,,28096752.980136555,0.055229656033167936,0.0,1
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14343.244140062221,,28072230.297110632,0.055107053423213946,0.0,1
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14298.667673447522,,28043408.200504832,0.05498495026803701,0.0,1
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14254.317503795664,,28010921.64759001,0.05486334357458985,0.0,1
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14210.192030002172,,27975294.535497252,0.05474223037339753,0.0,1
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14166.289665420632,,27936962.85308609,0.054621607718329065,0.0,1
gn2_pressurant_regulator,BangBang,0.9,1.02e-06,14122.608837703692,,27896292.265760098,0.054501472686369935,0.0,1
gn2_pressurant_regulator,BangBang,0.9,1.02e-06,14079.147988646859,,27853591.651392154,0.05438182237739797,0.0,1
gn2_pressurant_regulator,BangBang,1.0,1.02e-06,14035.905574034747,,27809123.615296315,0.0542626539139622,0.0,1
gn2_pressurant_regulator,BangBang,1.0,1.02e-06,13992.880063488135,,27763112.75906872,0.05414396444106313,0.0,1
gn2_pressurant_regulator,BangBang,1.1,1.02e-06,13950.069940314004,,27715753.143200126,0.054025751125936605,0.0,1
gn2_pressurant_regulator,BangBang,1.1,1.02e-06,13907.473701356932,,27667446.689790644,0.053908011157839546,0.0,1
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,13865.089856852757,,27617826.984114863,0.0537907417478386,0.0,1
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,13822.916930283647,,27567307.48541095,0.0536739401286006,0.0,1
gn2_pressurant_regulator,BangBang,1.2,1.02e-06,13780.953458235372,,27515993.442896575,0.053557603554185935,0.0,1
gn2_pressurant_regulator,BangBang,1.3,1.02e-06,13739.197990256305,,27463977.2448369,0.053441729299844094,0.0,1
gn2_pressurant_regulator,BangBang,1.4,1.02e-06,13697.64908871802,,27411346.696522806,0.05332631466181135,0.0,1
