component,kind,time,P,Q,T,U,d,fill_level,h,m,m_l,m_v,s
gn2_supply_4500psi,Node,0.0,30951514.464272317,,292.9554781730666,454018.9523581127,309.6286765016669,0.0,262889.2958041186,2.786658088515002,0.0,2.786658088515002,4966.171137799368
gn2_supply_4500psi,Node,0.1,30876940.57705655,,292.7614255209712,453276.50267049106,309.3148774575354,0.0,262648.202042872,2.7838338971178183,0.0,2.7838338971178183,4966.170720353323
gn2_supply_4500psi,Node,0.1,30802684.16272469,,292.56783990852057,452536.4117681571,309.00178823079807,0.0,262407.89141309634,2.7810160940771826,0.0,2.7810160940771826,4966.170304508539
gn2_supply_4500psi,Node,0.2,30728743.242718056,,292.3747192144344,451798.6674055754,308.68940587293156,0.0,262168.3596423265,2.7782046528563837,0.0,2.7782046528563837,4966.169890255088
gn2_supply_4500psi,Node,0.2,30655115.85463861,,292.182061331228,451063.25742577034,308.37772745342346,0.0,261929.60248989606,2.775399547080811,0.0,2.775399547080811,4966.169477583147
gn2_supply_4500psi,Node,0.2,30581800.052086186,,291.98986416509683,450330.1697595091,308.0667500596282,0.0,261691.61574663912,2.7726007505366534,0.0,2.7726007505366534,4966.169066482973
gn2_supply_4500psi,Node,0.3,30508793.904497653,,291.798125635801,449599.3924244937,307.75647079662343,0.0,261454.39523459098,2.769808237169611,0.0,2.769808237169611,4966.168656944896
gn2_supply_4500psi,Node,0.4,30436095.49698805,,291.60684367655176,448870.91352456197,307.4468867870688,0.0,261217.93680670118,2.767021981083619,0.0,2.767021981083619,4966.168248959329
gn2_supply_4500psi,Node,0.4,30363702.930193353,,291.41601623389914,448144.7212488977,307.13799517106514,0.0,260982.23634653943,2.764241956539586,0.0,2.764241956539586,4966.167842516751
gn2_supply_4500psi,Node,0.5,30291614.32011573,,291.22564126762126,447420.80387124926,306.8297931060159,0.0,260747.28976802237,2.761468137954143,0.0,2.761468137954143,4966.167437607736
gn2_supply_4500psi,Node,0.5,30219827.797969777,,291.0357167506129,446699.14974915684,306.52227776648954,0.0,260513.09301511646,2.7587004998984055,0.0,2.7587004998984055,4966.167034222925
gn2_supply_4500psi,Node,0.6,30148341.510031354,,290.8462406687771,445979.74732318876,306.21544634408303,0.0,260279.64206157505,2.7559390170967473,0.0,2.7559390170967473,4966.166632353043
gn2_supply_4500psi,Node,0.6,30077153.61748773,,290.6572110209174,445262.58511618566,305.9092960472874,0.0,260046.93291064774,2.7531836644255865,0.0,2.7531836644255865,4966.166231988875
