component,kind,time,CdA,Hdot,Q,dP,mdot,qdot,state
gn2_pressurant_regulator,BangBang,0.0,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0,1
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0,False
gn2_pressurant_regulator,BangBang,0.1,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0,False
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14896.416156622698,,27579029.17267068,0.056612129077139584,0,False
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14811.124478191072,,27494067.2757644,0.05638130402671678,0,True
gn2_pressurant_regulator,BangBang,0.2,1.02e-06,14726.629814479282,,27299806.836138215,0.056152205524748984,0,True
gn2_pressurant_regulator,BangBang,0.3,1.02e-06,14726.629814479282,,27299806.836138215,0.056152205524748984,0,False
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14726.629814479282,,27299806.836138215,0.056152205524748984,0,False
gn2_pressurant_regulator,BangBang,0.4,1.02e-06,14726.629814479282,,27299806.836138215,0.056152205524748984,0,False
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14642.921804606778,,27215820.66355968,0.055924814603687485,0,True
gn2_pressurant_regulator,BangBang,0.5,1.02e-06,14559.990259287559,,27026869.48190872,0.05569911256942884,0,True
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14559.990259287559,,27026869.48190872,0.05569911256942884,0,False
gn2_pressurant_regulator,BangBang,0.6,1.02e-06,14559.990259287559,,27026869.48190872,0.05569911256942884,0,False
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14559.990259287559,,27026869.48190872,0.05569911256942884,0,False
gn2_pressurant_regulator,BangBang,0.7,1.02e-06,14559.990259287559,,27026869.48190872,0.05569911256942884,0,False
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14477.825157390198,,26978366.009785,0.05547508099645068,0,True
gn2_pressurant_regulator,BangBang,0.8,1.02e-06,14396.416642578686,,26794327.84532894,0.05525270172304981,0,True
gn2_pressurant_regulator,BangBang,0.9,1.02e-06,14396.416642578686,,26794327.84532894,0.05525270172304981,0,False
