component,kind,time,CdA,Hdot,Q,dP,mdot,qdot,state
gn2_to_lox_tank_regulator,BangBang,0.0,2.04e-06,29792.832313245395,,27579029.172671862,0.11322425815427917,0.0,1
gn2_to_lox_tank_regulator,BangBang,0.1,2.04e-06,29792.832313245395,,27579029.172671862,0.11322425815427917,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.1,2.04e-06,29792.832313245395,,27579029.172671862,0.11322425815427917,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.2,2.04e-06,29603.560295863826,,27477890.476315133,0.112711935601361,0.0,True
gn2_to_lox_tank_regulator,BangBang,0.2,2.04e-06,29603.560295863826,,27477890.476315133,0.112711935601361,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.2,2.04e-06,29603.560295863826,,27477890.476315133,0.112711935601361,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.3,2.04e-06,29603.560295863826,,27477890.476315133,0.112711935601361,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.4,2.04e-06,29462.98829984848,,27405664.722508557,0.11233071518338142,0.0,True
gn2_to_lox_tank_regulator,BangBang,0.4,2.04e-06,29462.98829984848,,27405664.722508557,0.11233071518338142,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.5,2.04e-06,29462.98829984848,,27405664.722508557,0.11233071518338142,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.5,2.04e-06,29323.35797414801,,27274693.235146172,0.11195149579915417,0.0,True
gn2_to_lox_tank_regulator,BangBang,0.6,2.04e-06,29323.35797414801,,27274693.235146172,0.11195149579915417,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.6,2.04e-06,29323.35797414801,,27274693.235146172,0.11195149579915417,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.7,2.04e-06,29230.945457922626,,27184114.02735758,0.11170017021387738,0.0,True
gn2_to_lox_tank_regulator,BangBang,0.7,2.04e-06,29230.945457922626,,27184114.02735758,0.11170017021387738,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.8,2.04e-06,29230.945457922626,,27184114.02735758,0.11170017021387738,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.8,2.04e-06,29047.471845059623,,27023592.641856447,0.11120044075744061,0.0,True
gn2_to_lox_tank_regulator,BangBang,0.9,2.04e-06,29047.471845059623,,27023592.641856447,0.11120044075744061,0.0,False
gn2_to_lox_tank_regulator,BangBang,0.9,2.04e-06,29047.471845059623,,27023592.641856447,0.11120044075744061,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.0,2.04e-06,29047.471845059623,,27023592.641856447,0.11120044075744061,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.0,2.04e-06,28956.476999340826,,26992158.529900417,0.11095220461762553,0.0,True
gn2_to_lox_tank_regulator,BangBang,1.1,2.04e-06,28956.476999340826,,26992158.529900417,0.11095220461762553,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.1,2.04e-06,28956.476999340826,,26992158.529900417,0.11095220461762553,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.2,2.04e-06,28775.809860381094,,26834088.058921836,0.11045860127039377,0.0,True
gn2_to_lox_tank_regulator,BangBang,1.2,2.04e-06,28775.809860381094,,26834088.058921836,0.11045860127039377,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.2,2.04e-06,28775.809860381094,,26834088.058921836,0.11045860127039377,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.3,2.04e-06,28686.202501651554,,26750708.962562155,0.11021339892950319,0.0,True
gn2_to_lox_tank_regulator,BangBang,1.4,2.04e-06,28686.202501651554,,26750708.962562155,0.11021339892950319,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.4,2.04e-06,28686.202501651554,,26750708.962562155,0.11021339892950319,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.5,2.04e-06,28508.28225266621,,26598504.753443643,0.10972581164546898,0.0,True
gn2_to_lox_tank_regulator,BangBang,1.5,2.04e-06,28508.28225266621,,26598504.753443643,0.10972581164546898,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.6,2.04e-06,28508.28225266621,,26598504.753443643,0.10972581164546898,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.6,2.04e-06,28508.28225266621,,26598504.753443643,0.10972581164546898,0.0,False
gn2_to_lox_tank_regulator,BangBang,1.7,2.04e-06,28420.0330142795,,26569328.088139627,0.10948358876925089,0.0,True
gn2_to_lox_tank_regulator,BangBang,1.7,2.04e-06,28288.392285641974,,26350415.530781798,0.10912183670350256,0.0,True
