component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
gn2_supply_4500psi,Node,0.0,,,30914105.494297255,,292.85811209826403,907293.0839083943,,309.4714205875637,0.0,262768.2926848234,5.570485570576147,0.0,5.570485570576147,,,4966.170613341184,
gn2_supply_4500psi,Node,0.1,,,30876885.766062006,,292.7612377605565,906551.8179927808,,309.3146990922283,0.0,262647.96303885285,5.567664583660109,0.0,5.567664583660109,,,4966.170509250718,
gn2_supply_4500psi,Node,0.1,,,30876885.766062006,,292.7612377605565,906551.8179927808,,309.3146990922283,0.0,262647.96303885285,5.567664583660109,0.0,5.567664583660109,,,4966.170509250718,
gn2_supply_4500psi,Node,0.2,,,30802629.58576435,,292.5676525324153,905071.6399779876,,309.00161038222456,0.0,262407.6530281517,5.562028986880041,0.0,5.562028986880041,,,4966.170093407179,
gn2_supply_4500psi,Node,0.2,,,30802629.58576435,,292.5676525324153,905071.6399779876,,309.00161038222456,0.0,262407.6530281517,5.562028986880041,0.0,5.562028986880041,,,4966.170093407179,
gn2_supply_4500psi,Node,0.2,,,30802629.58576435,,292.5676525324153,905071.6399779876,,309.00161038222456,0.0,262407.6530281517,5.562028986880041,0.0,5.562028986880041,,,4966.170093407179,
gn2_supply_4500psi,Node,0.3,,,30765646.910513133,,292.47112697190056,904333.8975009363,,308.84541946059346,0.0,262287.90809129766,5.559217550290682,0.0,5.559217550290682,,,4966.169989913722,
gn2_supply_4500psi,Node,0.4,,,30655008.07744232,,292.1816900523291,902124.1733784477,,308.377374813996,0.0,261929.1306902713,5.550792746651928,0.0,5.550792746651928,,,4966.1690590011185,
gn2_supply_4500psi,Node,0.4,,,30655008.07744232,,292.1816900523291,902124.1733784477,,308.377374813996,0.0,261929.1306902713,5.550792746651928,0.0,5.550792746651928,,,4966.1690590011185,
gn2_supply_4500psi,Node,0.5,,,30655008.07744232,,292.1816900523291,902124.1733784477,,308.377374813996,0.0,261929.1306902713,5.550792746651928,0.0,5.550792746651928,,,4966.1690590011185,
gn2_supply_4500psi,Node,0.5,,,30581692.73248885,,291.98949364171347,900658.0054797402,,308.0663984367762,0.0,261691.14516077112,5.5451951718619705,0.0,5.5451951718619705,,,4966.168647903399,
gn2_supply_4500psi,Node,0.6,,,30581692.73248885,,291.98949364171347,900658.0054797402,,308.0663984367762,0.0,261691.14516077112,5.5451951718619705,0.0,5.5451951718619705,,,4966.168647903399,
gn2_supply_4500psi,Node,0.6,,,30581692.73248885,,291.98949364171347,900658.0054797402,,308.0663984367762,0.0,261691.14516077112,5.5451951718619705,0.0,5.5451951718619705,,,4966.168647903399,
gn2_supply_4500psi,Node,0.7,,,30472220.45595684,,291.70178435171374,898465.684570396,,307.60098106088503,0.0,261335.25462962023,5.53681765909593,0.0,5.53681765909593,,,4966.167725830093,
gn2_supply_4500psi,Node,0.7,,,30435936.246654227,,291.6062917514669,897738.3568515071,,307.4463632097608,0.0,261217.2366152785,5.534034537775694,0.0,5.534034537775694,,,4966.167624096006,
gn2_supply_4500psi,Node,0.8,,,30435936.246654227,,291.6062917514669,897738.3568515071,,307.4463632097608,0.0,261217.2366152785,5.534034537775694,0.0,5.534034537775694,,,4966.167624096006,
