component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
gn2_tank,Node,0.0,,,30981459.738783125,,293.03332053717486,908633.8220374546,,309.75449249087706,0.0,262986.0695921781,5.5755808648357865,0.0,5.5755808648357865,,,4966.171455176933,
gn2_tank,Node,0.0,,,30966511.41283021,,292.9944948430748,908336.4630093699,,309.69167568073067,0.0,262937.80117837596,5.574450162253152,0.0,5.574450162253152,,,4966.171438471357,
gn2_tank,Node,0.0,,,30951575.845029484,,292.9556878560049,908039.2932303203,,309.6288873250989,0.0,262889.5641810804,5.57331997185178,0.0,5.57331997185178,,,4966.171421778621,
gn2_tank,Node,0.1,,,30951575.845029484,,292.9556878560049,908039.2932303203,,309.6288873250989,0.0,262889.5641810804,5.57331997185178,0.0,5.57331997185178,,,4966.171421778621,
gn2_tank,Node,0.1,,,30921734.19357452,,292.87810010987715,907445.3317761642,,309.503367475473,0.0,262793.14632398816,5.5710606145585135,0.0,5.5710606145585135,,,4966.171355041009,
gn2_tank,Node,0.1,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.1,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.1,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.2,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.2,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.2,,,30891943.41984034,,292.80058706439115,906852.1255911775,,309.3779612400862,0.0,262696.85383562045,5.568803302321552,0.0,5.568803302321552,,,4966.171288405867,
gn2_tank,Node,0.2,,,30862203.396723825,,292.72314858370197,906259.6731045529,,309.25266842993597,0.0,262600.686441925,5.566548031738847,0.0,5.566548031738847,,,4966.171221872938,
gn2_tank,Node,0.2,,,30817675.249615006,,292.6070858541824,905372.1225727822,,309.0648990697555,0.0,262456.612665697,5.563168183255598,0.0,5.563168183255598,,,4966.171072363051,
gn2_tank,Node,0.3,,,30802866.434192322,,292.5684650772826,905076.8352106907,,309.0023940588019,0.0,262408.6880680002,5.562043093058433,0.0,5.562043093058433,,,4966.171055797891,
gn2_tank,Node,0.3,,,30788070.202738788,,292.5298628212555,904781.7349448788,,308.939917243219,0.0,262360.79451126774,5.560918510377941,0.0,5.560918510377941,,,4966.1710392454,
gn2_tank,Node,0.3,,,30788070.202738788,,292.5298628212555,904781.7349448788,,308.939917243219,0.0,262360.79451126774,5.560918510377941,0.0,5.560918510377941,,,4966.1710392454,
gn2_tank,Node,0.3,,,30788070.202738788,,292.5298628212555,904781.7349448788,,308.939917243219,0.0,262360.79451126774,5.560918510377941,0.0,5.560918510377941,,,4966.1710392454,
